source_file,source_row,reject_reason,response_id,survey_id,respondent_name,respondent_email,started_at,completed_at,status,rating,duration_seconds,channel,free_text
responses.csv,46,duplicate_respondent_in_survey,28088,5,Rahul Fernandes,rahul.fernandes166@example.com,28/06/2026 18:36:58,,started,4,1714,,
responses.csv,208,duplicate_respondent_in_survey,24839,5,Sanjay Khan,sanjay.khan325@example.com,26/06/2026 07:12:40,,started,3,799,,
responses.csv,255,duplicate_respondent_in_survey,34284,10,Vikram Bose,vikram.bose978@example.com,20/06/2026 21:20:57,,started,5,1591,email,
responses.csv,398,duplicate_respondent_in_survey,26847,5,Priya Iyer,priya.iyer208@example.com,13/02/2026 02:07:16,13/02/2026 02:32:20,partial,5,1504,,
responses.csv,402,duplicate_respondent_in_survey,34507,10,Meera Patel,meera.patel89@example.com,28/05/2026 16:00:32,28/05/2026 16:12:48,completed,4,736,,
responses.csv,435,duplicate_respondent_in_survey,24947,5,Sneha Patel,sneha.patel739@example.com,09/01/2026 12:34:36,,started,3,499,kiosk,
responses.csv,470,duplicate_respondent_in_survey,24604,5,Nisha Sharma,nisha.sharma961@example.com,05/04/2026 23:57:24,,abandoned,N/A,1294,email,
responses.csv,477,duplicate_respondent_in_survey,10331,3,Vikram Chatterjee,vikram.chatterjee802@example.com,29/04/2026 00:08:59,,abandoned,N/A,1412,,
responses.csv,533,duplicate_respondent_in_survey,19284,5,Meera Gupta,meera.gupta622@example.com,08/04/2026 18:26:24,,abandoned,4,1558,sms,
responses.csv,541,duplicate_respondent_in_survey,12703,4,Sanjay Kulkarni,sanjay.kulkarni990@example.com,22/05/2026 04:20:26,,abandoned,,886,whatsapp,
responses.csv,590,duplicate_respondent_in_survey,24319,5,Sneha Gupta,sneha.gupta833@example.com,15/02/2026 08:06:36,15/02/2026 08:32:20,partial,2,1544,email,
responses.csv,607,duplicate_respondent_in_survey,27994,5,Karan Nair,karan.nair658@example.com,14/04/2026 14:18:43,,abandoned,1,1048,sms,
responses.csv,622,duplicate_respondent_in_survey,26774,5,Sanjay Gupta,sanjay.gupta615@example.com,19/06/2026 11:20:21,,started,5,1382,kiosk,
